district,population_lakhs,area_sq_km,literacy_rate,sex_ratio,avg_income_lakhs,unemployment_rate,urbanization_type,urbanization_share_pct,data_year
Bengaluru Urban,96.22,2196,87.7,916,4.20,3.80,urban,90.6,2011
Bengaluru Rural,9.91,2259,78.3,945,2.40,4.10,rural,21.6,2011
Ramanagara,10.83,3556,69.2,950,1.90,3.90,rural,24.7,2011
Chikkaballapur,12.55,4207,70.1,958,1.80,4.30,rural,17.5,2011
Kolar,16.05,3989,74.3,976,1.95,4.00,rural,26.0,2011
Tumkuru,26.79,10597,75.0,984,1.90,3.60,rural,24.6,2011
Mandya,18.06,4961,70.4,989,1.85,3.30,rural,19.5,2011
Mysuru,30.01,6854,84.6,985,2.80,4.60,semi_urban,42.0,2011
Chamarajanagar,10.21,5101,61.4,989,1.55,3.10,rural,17.2,2011
Hassan,17.76,6814,75.9,1005,2.00,3.10,rural,19.3,2011
Kodagu,5.55,4102,79.3,1019,2.10,2.90,rural,15.7,2011
Mangaluru,20.90,4866,88.6,1018,2.60,4.10,semi_urban,47.7,2011
Udupi,11.77,3880,86.2,1094,2.30,3.40,semi_urban,28.0,2011
Uttara Kannada,14.37,10277,84.0,975,1.95,3.50,rural,29.7,2011
Belagavi,47.80,13415,73.9,968,2.10,3.40,semi_urban,27.4,2011
Vijayapura,21.77,10494,66.7,954,1.65,4.80,rural,23.5,2011
Bagalkot,18.90,6575,68.4,971,1.75,4.50,rural,20.0,2011
Haveri,15.98,4848,77.6,951,1.70,4.20,rural,17.5,2011
Gadag,10.66,4656,74.9,978,1.70,4.40,rural,25.5,2011
Dharwad,18.47,4260,80.4,967,2.30,4.40,semi_urban,56.9,2011
Davanagere,19.46,5926,76.3,970,1.90,4.10,semi_urban,40.0,2011
Shivamogga,17.56,8465,80.5,989,1.95,3.70,rural,29.5,2011
Chitradurga,16.60,8440,73.6,972,1.75,4.30,rural,22.0,2011
Ballari,24.53,8450,67.4,978,2.00,5.20,semi_urban,37.4,2011
Kalaburagi,25.64,10951,65.7,966,1.80,5.90,rural,32.0,2011
Yadgir,11.74,5230,61.1,961,1.50,6.50,rural,16.5,2011
Raichur,19.34,8387,62.4,950,1.60,6.20,rural,25.0,2011
Koppal,13.92,7189,66.1,961,1.60,5.80,rural,18.5,2011
Bidar,17.03,5448,71.0,952,1.65,5.00,rural,20.5,2011
Vijayanagara,14.52,6644,66.5,976,1.70,5.40,rural,24.0,2011
