source_type,source_id,target_type,target_id,relationship_type,confidence,inferred_from
person,063f0fb1-2707-4319-8a03-dc94c77cb400,vehicle,15000000-0000-0000-0000-000000000002,used_vehicle,0.95,driver_record
person,063f0fb1-2707-4319-8a03-dc94c77cb400,phone,27bc5802-a0e0-42a6-8bfd-6f47ebe5e01c,connected_to_phone,0.98,cdr_subscriber
person,063f0fb1-2707-4319-8a03-dc94c77cb400,organization,f192fba6-3ace-4ed2-8d43-0c13574079c7,member_of,0.9,payroll_record
person,063f0fb1-2707-4319-8a03-dc94c77cb400,person,1d0a3211-f009-4161-8d22-6a836915660e,communicated_with,0.88,interstate_call_cluster
person,1d0a3211-f009-4161-8d22-6a836915660e,vehicle,613c4378-0762-44bd-9577-f9cf63e2645a,used_vehicle,0.92,rto_ownership
person,1d0a3211-f009-4161-8d22-6a836915660e,phone,8dfabfe9-3592-438a-8de5-170711945a8f,connected_to_phone,0.97,cdr_subscriber
person,1d0a3211-f009-4161-8d22-6a836915660e,organization,f192fba6-3ace-4ed2-8d43-0c13574079c7,associated_with,0.95,bank_director
person,67e2593f-4280-4f24-ae7e-2b2cca9fdaae,organization,f192fba6-3ace-4ed2-8d43-0c13574079c7,member_of,0.85,warehouse_staff
person,67e2593f-4280-4f24-ae7e-2b2cca9fdaae,location,5c1181fa-2dc4-4e90-8083-1241c34705fa,located_at,0.9,apprehended_scene
person,f30ecc23-bc34-4e1d-ae00-f7feeb7f4789,phone,b40d8d9a-557e-44c0-8df6-b8bb1ceb762d,connected_to_phone,0.99,voip_admin
person,f30ecc23-bc34-4e1d-ae00-f7feeb7f4789,organization,2b2145a6-584b-4313-ae67-bf49c1848222,member_of,0.96,domain_registrant
person,f30ecc23-bc34-4e1d-ae00-f7feeb7f4789,person,a8df5bb9-8847-4e6a-ba1f-7ed419d2bfdf,communicated_with,0.92,encrypted_chats
person,f30ecc23-bc34-4e1d-ae00-f7feeb7f4789,person,4a52b5e7-9ce8-4981-9f93-b937df62e2a0,communicated_with,0.89,transaction_orders
person,a8df5bb9-8847-4e6a-ba1f-7ed419d2bfdf,vehicle,68803aae-5fc2-4a90-9416-3ecc009f49a6,used_vehicle,0.88,parking_permit
person,a8df5bb9-8847-4e6a-ba1f-7ed419d2bfdf,phone,00798752-4099-4650-934b-d8b44dd7ea80,connected_to_phone,0.98,cdr_subscriber
person,4a52b5e7-9ce8-4981-9f93-b937df62e2a0,vehicle,92538f6e-6e22-47ba-aa1f-860abe513db9,used_vehicle,0.94,rto_ownership
person,4a52b5e7-9ce8-4981-9f93-b937df62e2a0,phone,8e9d5f41-f497-4fc7-a127-a2b38a7f523b,connected_to_phone,0.95,cdr_subscriber
person,91391132-e329-4c7a-9a94-d3ce970ddc8c,phone,d87f13a6-8018-4791-8e7b-e32be04ae2b5,connected_to_phone,0.97,cdr_subscriber
person,91391132-e329-4c7a-9a94-d3ce970ddc8c,organization,98c3eac1-753e-4ae0-8301-17f458c341dc,associated_with,0.91,lease_agreement
person,91391132-e329-4c7a-9a94-d3ce970ddc8c,person,18cf0388-de07-456b-93f2-fcbf9e40c2a2,communicated_with,0.86,highway_transit_coordination
person,18cf0388-de07-456b-93f2-fcbf9e40c2a2,vehicle,c04c6948-f552-4efa-b3ad-43c7c73e1437,used_vehicle,0.93,toll_tag
person,18cf0388-de07-456b-93f2-fcbf9e40c2a2,phone,2b29dd03-cbfe-46f7-8687-af4c4a898fd7,connected_to_phone,0.96,cdr_subscriber
person,2faae600-dd5b-4831-9f10-13cc9fb70620,vehicle,bee352d7-2f75-4b50-9a34-45cc0378fa6d,used_vehicle,0.91,driver_record
person,2faae600-dd5b-4831-9f10-13cc9fb70620,phone,c8e9dec6-9a80-495b-9c9f-b52e6c517dd6,connected_to_phone,0.94,cdr_subscriber
